Stock,yr,ct,bt
SMA.SA.C1.proof,1971,97.32662268,
SMA.SA.C1.proof,1972,60.32806068,
SMA.SA.C1.proof,1973,211.7505601,
SMA.SA.C1.proof,1974,67.16155551,
SMA.SA.C1.proof,1975,76.12911727,
SMA.SA.C1.proof,1976,30.10530701,
SMA.SA.C1.proof,1977,252.2559942,
SMA.SA.C1.proof,1978,168.226432,
SMA.SA.C1.proof,1979,299.4924922,
SMA.SA.C1.proof,1980,323.6281638,
SMA.SA.C1.proof,1981,375.0918652,
SMA.SA.C1.proof,1982,973.6176097,
SMA.SA.C1.proof,1983,511.6353008,
SMA.SA.C1.proof,1984,744.7796805,
SMA.SA.C1.proof,1985,785.5491165,
SMA.SA.C1.proof,1986,608.7849887,
SMA.SA.C1.proof,1987,386.1136733,
SMA.SA.C1.proof,1988,1031.664608,
SMA.SA.C1.proof,1989,1545.623982,
SMA.SA.C1.proof,1990,1255.104974,57.1898
SMA.SA.C1.proof,1991,1061.68298,40.8596
SMA.SA.C1.proof,1992,1182.973523,54.1463
SMA.SA.C1.proof,1993,1742.968282,53.7208
SMA.SA.C1.proof,1994,2182.418664,50.7168
SMA.SA.C1.proof,1995,3099.982095,57.9675
SMA.SA.C1.proof,1996,2426.809222,69.6821
SMA.SA.C1.proof,1997,2247.375188,56.0758
SMA.SA.C1.proof,1998,2009.397192,46.3853
SMA.SA.C1.proof,1999,1606.592,37.1903
SMA.SA.C1.proof,2000,2589.703,51.8591
SMA.SA.C1.proof,2001,2107.5573,61.8385
SMA.SA.C1.proof,2002,2103.327,57.4133
SMA.SA.C1.proof,2003,3235.6591,56.8603
SMA.SA.C1.proof,2004,2525.709272,54.1737
SMA.SA.C1.proof,2005,3258.909235,62.4537
SMA.SA.C1.proof,2006,3035.68816,52.528
SMA.SA.C1.proof,2007,2786.008671,46.8765
SMA.SA.C1.proof,2008,1929.07358,40.7634
SMA.SA.C1.proof,2009,2086.907,50.3439
SMA.SA.C1.proof,2010,2563.003532,54.997
SMA.SA.C1.proof,2011,3334.356073,73.8968
SMA.SA.C1.proof,2012,2965.43032,68.598
SMA.SA.C1.proof,2013,1972.2062,78.4499
SMA.SA.C1.proof,2014,3314.08022,75.0082
SMA.SA.C1.proof,2015,2686.16752,65.486
SMA.NA.C1.proof,1950,105.63,
